accident_year,accident_time,weather,road_status,road_type,accident_classification,accident_nature,accident_reason,city,zone,street,accident_severity,death_count,birth_year_of_accident_perpetr,nationality_group_of_accident,total
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,910.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,,COLLISION,,OTHER,001,55.0,280.0,SIMPLE,0,1992,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,70.0,800.0,SIMPLE,0,1992,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,824.0,SIMPLE,0,1971,ASIA,2
2020-01-01,8PM,,,,COLLISION,,,009,54.0,280.0,SIMPLE,0,1984,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,005,91.0,311.0,SIMPLE,0,1998,QATAR,2
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,37.0,964.0,,0,0,,5
2020-01-01,8PM,,,,COLLISION,,,009,54.0,364.0,SIMPLE,0,1994,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,26.0,836.0,SIMPLE,0,1978,ASIA,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,007,70.0,444.0,SIMPLE,0,2000,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,25.0,970.0,SIMPLE,0,1991,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,740.0,SIMPLE,0,1995,ARABI,1
2020-01-01,8PM,,,,COLLISION,FALL FROM CAR,,001,44.0,260.0,SIMPLE,0,0,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,028,57.0,15.0,SIMPLE,0,1991,ASIA,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,027,95.0,-1.0,SIMPLE,0,1987,QATAR,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,55.0,890.0,SIMPLE,0,1987,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,745.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,48.0,310.0,SIMPLE,0,1975,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,OTHER,001,30.0,253.0,SIMPLE,0,1993,QATAR,1
2020-01-01,8PM,,,EXTERNAL,COLLISION,,,001,31.0,950.0,SIMPLE,0,1981,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,312.0,SIMPLE,0,1996,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,029,70.0,456.0,SIMPLE,0,1998,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,325.0,SIMPLE,0,1990,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,25.0,230.0,SIMPLE,0,1983,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,31.0,970.0,SIMPLE,0,2000,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,25.0,970.0,SIMPLE,0,1981,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,45.0,840.0,SIMPLE,0,1991,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,029,70.0,-1.0,SIMPLE,0,1970,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,027,91.0,100.0,SIMPLE,0,1970,ASIA,1
